time,latitude,longitude,depth,mag,magType
2021-01-01T00:40:35.586Z,-52.2909,-4.7622,10,5.3,mww
2021-01-01T01:13:18.272Z,13.633,144.9621,162.73,4.4,mb
2021-01-01T01:20:09.649Z,-31.3191,-177.9341,10,5,mb
2021-01-01T01:50:22.753Z,36.324,69.9285,139.79,4.1,mb
2021-01-01T01:50:51.107Z,30.611,142.0702,10,4.4,mb
2021-01-01T03:09:38.659Z,-15.5297,-73.6546,73.56,4.4,mb
2021-01-01T03:20:58.539Z,-29.0885,-178.4847,226.19,4.6,mb
2021-01-01T03:46:52.529Z,-23.0784,172.6015,10,4.5,mb
2021-01-01T03:55:22.647Z,38.3055,22.056,10,4.3,mb
2021-01-01T04:05:17.129Z,-0.1874,124.442,61.99,4.5,mb
2021-01-01T06:25:32.573Z,-29.5276,-176.5878,10,4.5,mb
2021-01-01T06:41:21.082Z,-28.343,-177.3427,11.02,4.2,mb
2021-01-01T09:26:21.336Z,21.6209,143.417,269.45,4,mb
2021-01-01T10:04:37.590Z,-31.0417,-177.1883,10.72,4.5,mb
2021-01-01T11:55:47.226Z,51.4473,-179.5022,35,4.1,mb
2021-01-01T16:36:20.866Z,35.8225,27.9122,77.23,4.1,mb
2021-01-01T17:55:46.100Z,-21.169,-178.3459,541.52,4.3,mb
2021-01-01T18:47:11.806Z,-6.1821,147.6701,63.75,4,mb
2021-01-01T19:33:30.299Z,-23.501,-68.7724,111.58,4.5,mb
2021-01-01T20:24:36.402Z,37.024,94.6733,16.47,4.5,mb
2021-01-01T22:11:31.133Z,13.3252,-90.8461,35,4.8,mb
2021-01-01T22:20:08.530Z,-21.4224,169.1711,10,4.4,mb
2021-01-01T22:49:01.341Z,13.5123,-90.6981,50.29,4.4,mb
2021-01-02T00:02:00.758Z,-4.4714,125.9571,428.86,4.3,mb
2021-01-02T00:26:20.044Z,-34.3794,-70.5241,121.88,4.3,mb
2021-01-02T00:42:17.918Z,13.667,-91.2274,35,4.3,mb
2021-01-02T00:45:00.272Z,33.4333,141.4589,10,4.6,mb
2021-01-02T00:45:46.013Z,-15.0828,-173.291,47.1,4.6,mb
2021-01-02T01:05:51.643Z,42.0975,48.0137,10,5.1,mb
2021-01-02T02:25:25.540Z,37.9324,26.6869,23.19,4.1,mb
2021-01-02T02:41:08.382Z,-24.2297,-67.1744,171,4.4,mb
2021-01-02T03:11:42.386Z,-24.032,-179.696,496.44,4.3,mb
2021-01-02T03:30:13.850Z,-22.753,-68.7593,113.02,4,mwr
2021-01-02T04:59:24.437Z,18.7511,145.6029,157.12,4.1,mb
2021-01-02T05:18:58.498Z,0.4377,121.8602,121.69,4.2,mb
2021-01-02T05:29:17.919Z,9.5829,125.9985,61.49,4.3,mb
2021-01-02T06:33:22.026Z,-4.4028,138.204,150.65,4.6,mb
2021-01-02T08:34:21.523Z,-5.83,153.0922,33.68,5.1,mww
2021-01-02T08:40:21.557Z,-23.4957,-68.8815,96.06,4.5,mb
2021-01-02T09:23:36.888Z,-52.9973,20.9425,10,5,mww
2021-01-02T09:26:47.058Z,-19.0393,167.6144,10,4.5,mb
2021-01-02T09:31:41.315Z,18.4541,145.5943,151.88,4.3,mb
2021-01-02T09:34:13.621Z,-18.963,167.6305,10,4.5,mb
2021-01-02T09:43:38.798Z,-52.8326,21.1548,10,4.3,mb
2021-01-02T09:52:38.813Z,-52.7852,21.1438,10,4.5,mb
2021-01-02T10:03:17.867Z,-52.7071,21.3616,10,4.7,mb
2021-01-02T10:41:22.863Z,-7.102,129.438,157.28,4.1,mb
2021-01-02T11:15:48.996Z,-17.8249,-178.3677,552.92,4.5,mb
2021-01-02T11:50:00.313Z,-27.7994,-176.0976,10,4.5,mb
2021-01-02T11:57:41.429Z,-52.616,20.3992,10,4.6,mb
2021-01-02T12:09:06.835Z,-52.9402,21.3568,10,4.6,mb
2021-01-02T13:02:49.492Z,37.4846,71.8981,115.29,4.5,mb
2021-01-02T13:26:46.551Z,24.0311,122.3141,23.93,4.5,mwr
2021-01-02T13:36:03.744Z,38.7475,142.3096,53.82,4,mb
2021-01-02T13:59:25.215Z,-1.9263,122.549,10,4.4,mb
2021-01-02T14:42:23.790Z,36.6085,-121.2125,6.32,4.32,mw
2021-01-02T16:36:35.214Z,-5.1172,153.0458,47.95,4.6,mb
2021-01-02T17:03:22.666Z,13.2278,-90.9286,48.42,4.3,mb
2021-01-02T17:28:59.355Z,-21.8707,-179.064,544.93,4.3,mb
2021-01-02T18:45:28.711Z,14.5873,56.2762,10,4.5,mb
2021-01-02T18:49:12.710Z,12.986,-91.08,10,4.4,mb
2021-01-02T20:29:09.618Z,27.2693,57.8413,10,4.3,mb
2021-01-02T20:35:57.926Z,4.3322,138.0207,15.09,5.2,mww
2021-01-02T22:06:59.356Z,42.2426,48.2809,10,4.4,mb
2021-01-02T23:15:06.228Z,13.2331,-90.9215,19.73,4.2,mb
2021-01-02T23:21:18.144Z,-62.3706,-58.3091,10,5.2,mww
2021-01-03T02:50:45.982Z,23.7217,122.494,10,4.1,mb
2021-01-03T03:21:42.646Z,-52.1755,-4.908,10,5.1,mb
2021-01-03T03:25:47.340Z,14.2762,-92.0056,62.61,4.3,mb
2021-01-03T03:27:17.347Z,-52.1475,-4.9906,10,5.1,mb
2021-01-03T04:42:08.761Z,-23.9845,-66.8015,196.79,4.2,mb
2021-01-03T04:57:49.272Z,-19.056,-172.847,10,5.1,mb
2021-01-03T05:24:15.656Z,25.9056,128.5562,10,4.9,mww
2021-01-03T05:25:20.355Z,1.0057,-28.181,10,5.2,mb
2021-01-03T05:35:27.899Z,42.5663,-111.4286,5.33,4.2,mwr
2021-01-03T06:11:43.698Z,25.817,128.5092,10,4.5,mb
2021-01-03T06:42:29.940Z,25.88,128.5499,10,4.8,mww
2021-01-03T08:16:31.186Z,43.9364,91.3826,14.89,4.1,mb
2021-01-03T08:45:03.419Z,57.6374,-153.9182,59.6,4.9,ml
2021-01-03T09:21:05.045Z,-25.2563,178.6652,595.64,4.5,mb
2021-01-03T10:14:25.206Z,-7.1469,-80.5385,41.55,4.5,mb
2021-01-03T11:52:59.498Z,13.2919,-90.8542,47.75,4.8,mb
2021-01-03T12:38:48.915Z,51.2199,-179.793,21,6.1,mww
2021-01-03T12:45:29.909Z,7.3832,127.1691,10,4.7,mb
2021-01-03T12:57:41.780Z,13.1116,-91.0652,22.24,4.2,mb
2021-01-03T13:20:04.331Z,51.2431,-179.8978,30.88,4,mb
2021-01-03T13:20:21.441Z,-30.8511,-71.3552,37.61,4.5,mb
2021-01-03T13:22:21.983Z,13.3416,-90.8009,41.94,4.7,mb
2021-01-03T13:31:05.651Z,-19.0661,170.2011,265.29,4.2,mb
2021-01-03T14:14:54.692Z,43.6306,138.7964,250.43,4.1,mb
2021-01-03T14:17:35.631Z,38.2698,39.0769,5,4.4,mb
2021-01-03T15:12:15.374Z,-61.0788,-36.2902,10,4.4,mb
2021-01-03T18:57:23.324Z,-50.8469,131.5256,10,4.5,mb
2021-01-03T19:13:57.923Z,-2.7566,122.2402,10,5,mww
2021-01-03T19:27:58.992Z,32.4789,55.6543,10,4.3,mb
2021-01-03T21:15:33.994Z,-35.3049,-104.8453,10,4.9,mb
2021-01-03T21:26:59.384Z,-31.9948,-178.2952,35,4.5,mb
2021-01-03T21:33:23.707Z,28.4594,105.0555,10,4.2,mb
2021-01-03T21:53:35.455Z,-2.7349,122.1901,10,4.5,mb
2021-01-03T22:51:26.265Z,51.1951,-179.7852,35,4,mb
2021-01-04T00:05:10.096Z,13.1674,122.2262,10,4.5,mb
2021-01-04T00:23:19.516Z,-19.7559,-69.536,98.34,4.4,mwr
2021-01-04T01:08:50.325Z,-38.1857,-72.4902,62.42,4,mb
2021-01-04T02:58:29.611Z,29.4293,104.0285,10,5,mb
2021-01-04T03:05:56.002Z,13.0512,143.5824,209.33,4,mb
2021-01-04T03:40:25.276Z,14.6527,-92.7856,48.77,4.1,mb
2021-01-04T06:39:59.950Z,-55.5145,-27.0075,10,4.7,mb
2021-01-04T06:49:54.424Z,45.4155,16.2628,10,4.4,mb
